datetime,Open,High,Low,Close,Volume
2025-10-03 08:45:00,43.7,26511.0,-1.51,26436.0,33798
2025-10-03 08:50:00,80.8,26467.0,-1.3,26418.0,13496
2025-10-03 08:55:00,36.2,26443.0,-0.9,26394.0,17398
2025-10-03 09:00:00,80.8,46842.0,-1.01,26466.0,65380
2025-10-03 09:05:00,87.6,46842.0,-2.65,26448.0,48264
2025-10-03 09:10:00,9.07,26512.0,-1.31,878.0,47836
2025-10-03 09:15:00,32.3,46837.0,-1.19,48.65,62398
2025-10-03 09:20:00,1375.0,26543.0,-74.0,26477.0,47806
2025-10-03 09:25:00,37.25,26502.0,-5.09,26469.0,25438
2025-10-03 09:30:00,38.2,26506.0,-5.08,26467.0,28296
2025-10-03 09:35:00,38.4,26537.0,-4.99,26509.0,35150
2025-10-03 09:40:00,225.5,26547.0,-0.99,1563.6,31014
2025-10-03 09:45:00,32.0,46867.0,-5.01,26563.0,48422
2025-10-03 09:50:00,36.95,46868.0,-34.0,1567.25,24364
2025-10-03 09:55:00,26563.0,46877.0,-66.0,26580.0,18840
2025-10-03 10:00:00,180.5,26596.0,-5.01,26556.0,22644
2025-10-03 10:05:00,76.6,26597.0,-5.01,26580.0,14040
2025-10-03 10:10:00,37.45,26609.0,-0.51,26591.0,20368
2025-10-03 10:15:00,1385.0,26612.0,-1.19,26569.0,20284
2025-10-03 10:20:00,82.5,26618.0,-0.51,26602.0,19050
2025-10-03 10:25:00,82.4,26667.0,-0.7,26644.0,36828
2025-10-03 10:30:00,1390.0,46880.0,-2.68,26694.0,32024
2025-10-03 10:35:00,26694.0,46883.0,-0.4,885.0,43984
2025-10-03 10:40:00,37.75,46870.0,-69.0,890.0,20986
2025-10-03 10:45:00,1305.0,47244.0,-67.0,26647.0,25320
2025-10-03 10:50:00,82.6,26687.0,-65.0,26667.0,22966
2025-10-03 10:55:00,251.5,26690.0,-0.99,26651.0,9536
2025-10-03 11:00:00,82.4,26693.0,-0.93,26675.0,13634
2025-10-03 11:05:00,26675.0,26722.0,-1.01,890.0,20370
2025-10-03 11:10:00,82.6,26728.0,-0.99,26699.0,14052
2025-10-03 11:15:00,82.6,26721.0,-0.99,26682.0,15288
2025-10-03 11:20:00,33.65,26712.0,-2.54,26678.0,9638
2025-10-03 11:25:00,299.5,26703.0,-0.41,888.0,7890
2025-10-03 11:30:00,30.3,26708.0,-3.0,26670.0,9580
2025-10-03 11:35:00,27.65,26692.0,-2.56,26680.0,9436
2025-10-03 11:40:00,37.95,26699.0,-65.0,26674.0,8856
2025-10-03 11:45:00,26674.0,47270.0,-0.5,26703.0,7238
2025-10-03 11:50:00,72.6,47278.0,-0.65,26690.0,7812
2025-10-03 11:55:00,26691.0,26720.0,-0.51,1150.0,9196
2025-10-03 12:00:00,30.3,26717.0,-4.99,26690.0,7926
2025-10-03 12:05:00,26690.0,26719.0,-1.1,26701.0,10176
2025-10-03 12:10:00,26701.0,46901.0,-30.0,1160.0,12672
2025-10-03 12:15:00,83.0,26730.0,-2.54,26709.0,17470
2025-10-03 12:20:00,83.2,26739.0,-1.99,26730.0,16894
2025-10-03 12:25:00,38.55,26738.0,-5.01,26728.0,13036
2025-10-03 12:30:00,26711.0,46908.0,-0.45,3335.0,15614
2025-10-03 12:35:00,26714.0,26735.0,-0.75,25176.0,9282
2025-10-03 12:40:00,244.5,26738.0,-0.94,26715.0,11692
2025-10-03 12:45:00,302.0,26743.0,-0.45,1580.0,13012
2025-10-03 12:50:00,27.5,26747.0,-25.0,26697.0,16202
2025-10-03 12:55:00,36.55,26726.0,-0.93,1160.0,13594
2025-10-03 13:00:00,252.5,26739.0,-2.28,26714.0,9878
2025-10-03 13:05:00,83.6,26750.0,-2.32,27.4,13968
2025-10-03 13:10:00,39.0,46920.0,-63.0,27.4,12888
2025-10-03 13:15:00,65.2,26742.0,-22.0,1720.0,14760
2025-10-03 13:20:00,43.9,26756.0,-0.99,2.21,15262
2025-10-03 13:25:00,112.5,26752.0,-1.18,2213.0,13880
2025-10-03 13:30:00,1400.0,26780.0,-62.0,26775.0,28278
2025-10-03 13:35:00,39.0,46912.0,-60.0,26746.0,14794
2025-10-03 13:40:00,255.5,46916.0,-2.48,26745.0,24600
2025-10-03 13:45:00,14231.0,14231.0,25.59,25.59,4
